,title,date,time,author,counts,sometext,category,Date
0, TuSimple стал первым стартапом-«единорогом» на рынке беспилотных грузовиков,15.02.2019/17:02, Обновлено: 15.02.2019 в 16:46 ,Кирилл Иртлач,0," Американско-китайский стартап TuSimple, который занимается автоматизацией тягачей от Peterbilt, привлек $95 млн в раунде финансирования D. В компанию вложилась китайская корпорация Sina, которая…", Блоги ,05:02 PM 15/02/2019
1, Видеообзор беспроводных наушников Microsoft Surface Headphones,15.02.2019/16:50, Обновлено: 15.02.2019 в 16:50 ,Игорь Сушон,0," Компания Microsoft давно выпускает периферию и игровые консоли. В последние несколько лет много внимания уделяется линейке планшетов, ноутбуков и настольному компьютеру — Surface. Совсем недавно в…", Видео ,04:50 PM 15/02/2019
2," ГФС: 13 февраля было оформлено рекордное число авто с иностранной регистрацией (почти 8000 штук), общая сумма таможенных платежей с момента введения льготной ставки акциза превысила 10 млрд грн",15.02.2019/16:35, Обновлено: 15.02.2019 в 16:35 ,Владимир Скрипин,6," Государственная фискальная служба Украины (ГФС) поделилась свежей информацией, касающейся таможенного оформления автомобилей с иностранной регистрацией по льготной ставке акцизного…", Новости ,04:35 PM 15/02/2019
3,"ГФС: 13 февраля было оформлено рекордное число авто с иностранной регистрацией (почти 8000 штук), общая сумма таможенных платежей с момента введения льготной ставки акциза превысила 10 млрд грн",15.02.2019/16:35,Обновлено: 15.02.2019 в 16:35,Владимир Скрипин,0,"Государственная фискальная служба Украины (ГФС) поделилась свежей информацией, касающейся таможенного оформления автомобилей с иностранной регистрацией по льготной ставке акцизного…","
Новости
",04:35 PM 15/02/2019
4," Skaterbot — робот, который научился кататься на коньках",15.02.2019/15:59, Обновлено: 15.02.2019 в 15:59 ,Кирилл Иртлач,3," Швейцарские инженеры представили четвероногого робота Skaterbot, способного ездить по льду на коньках. Причем передвигаться на скользкой поверхности устройство научилось самостоятельно. Как…", Блоги ,03:59 PM 15/02/2019
5,"Skaterbot — робот, который научился кататься на коньках",15.02.2019/15:59,Обновлено: 15.02.2019 в 15:59,Кирилл Иртлач,0,"Швейцарские инженеры представили четвероногого робота Skaterbot, способного ездить по льду на коньках. Причем передвигаться на скользкой поверхности устройство научилось самостоятельно. Как…","
Блоги
",03:59 PM 15/02/2019
6," В Steam стартовала акция «2K Publisher Weekend» со скидками до 80% на игры Bioshock, Civilization, XCOM, Borderlands, Mafia (плюс бесплатные выходные NBA 2K19 и Arma 3)",15.02.2019/15:46, Обновлено: 15.02.2019 в 16:07 ,Сергей Кулеш,6," В преддверии выходных сервис Steam объявил о трех интересных предложениях, позволяющих сэкономить на покупке и поиграть в отдельные игры на протяжении уикэнда бесплатно. Итак, бесплатно в…", Блоги ,03:46 PM 15/02/2019
7,"В Steam стартовала акция «2K Publisher Weekend» со скидками до 80% на игры Bioshock, Civilization, XCOM, Borderlands, Mafia (плюс бесплатные выходные NBA 2K19 и Arma 3)",15.02.2019/15:46,Обновлено: 15.02.2019 в 16:07,Сергей Кулеш,3,"В преддверии выходных сервис Steam объявил о трех интересных предложениях, позволяющих сэкономить на покупке и поиграть в отдельные игры на протяжении уикэнда бесплатно. Итак, бесплатно в…","
Блоги
",03:46 PM 15/02/2019
8, «Киевстар» опять закрывает старые тарифы и прекращает действие дополнительных интернет-пакетов (с 21 февраля по 15 апреля 2019 года),15.02.2019/15:12, Обновлено: 15.02.2019 в 16:02 ,Сергей Кулеш,142," Мобильный оператор «Киевстар» опять закрывает часть старых тарифов и переводит абонентов на другие предложения. Как говорится в сообщении на официальном сайте, в период с 21 февраля по 15…", Новости ,03:12 PM 15/02/2019
9,«Киевстар» опять закрывает старые тарифы и прекращает действие дополнительных интернет-пакетов (с 21 февраля по 15 апреля 2019 года),15.02.2019/15:12,Обновлено: 15.02.2019 в 16:02,Сергей Кулеш,82,"Мобильный оператор «Киевстар» опять закрывает часть старых тарифов и переводит абонентов на другие предложения. Как говорится в сообщении на официальном сайте, в период с 21 февраля по 15…","
Новости
",03:12 PM 15/02/2019
10,"«Недостаточно эффективна и вызывает возникновение артефактов»: AMD раскритиковала технологию NVIDIA DLSS, призвав развивать открытые стандарты SMAA и TAA",15.02.2019/15:08,Обновлено: 15.02.2019 в 14:50,Вадим Карпусь,15,Недавно глава компании NVIDIA Дженсен Хуанг раскритиковал новую видеокарту AMD Radeon VII. Компания AMD не осталась в долгу и тоже раскритиковала решение конкурента. Однако критике подверглась не…,"
Новости
",03:08 PM 15/02/2019
11," «Недостаточно эффективна и вызывает возникновение артефактов»: AMD раскритиковала технологию NVIDIA DLSS, призвав развивать открытые стандарты SMAA и TAA",15.02.2019/15:08, Обновлено: 15.02.2019 в 14:50 ,Вадим Карпусь,20, Недавно глава компании NVIDIA Дженсен Хуанг раскритиковал новую видеокарту AMD Radeon VII. Компания AMD не осталась в долгу и тоже раскритиковала решение конкурента. Однако критике подверглась не…, Новости ,03:08 PM 15/02/2019
12," Неожиданно: Microsoft уже начала тестировать крупное обновление Windows 10 20H1, которое выйдет только в 2020 году",15.02.2019/14:45, Обновлено: 15.02.2019 в 14:45 ,Владимир Скрипин,31," Как известно, Microsoft выпускает по два крупных обновления Windows 10 в год. В марте-апреле этого года ожидается релиз ОС Windows 10 19H1, а следующим в сентябре-октябре выйдет Windows 10 19H2, начало тестирования…", Новости ,02:45 PM 15/02/2019
13,"Неожиданно: Microsoft уже начала тестировать крупное обновление Windows 10 20H1, которое выйдет только в 2020 году",15.02.2019/14:45,Обновлено: 15.02.2019 в 14:45,Владимир Скрипин,24,"Как известно, Microsoft выпускает по два крупных обновления Windows 10 в год. В марте-апреле этого года ожидается релиз ОС Windows 10 19H1, а следующим в сентябре-октябре выйдет Windows 10 19H2, начало тестирования…","
Новости
",02:45 PM 15/02/2019
14,Главное с CES 2019,15.02.2019/14:29, Обновлено: 15.02.2019 в 13:46 ,Сергей Кулеш,11," Чешский автопроизводитель Skoda, который принадлежит концерну Volkswagen AG, опубликовал первые официальные изображения концепта Vision iV. Этот электрический кроссовер на платформе Modular Electric Drive Kit (MEB)…", Новости ,02:29 PM 15/02/2019
15,Электрокроссовер Skoda Vision iV на платформе VW MEB представят на Женевском автосалоне 2019 и выпустят на рынок уже в 2020 году [первые изображения],15.02.2019/14:29,Обновлено: 15.02.2019 в 13:46,Сергей Кулеш,10,"Чешский автопроизводитель Skoda, который принадлежит концерну Volkswagen AG, опубликовал первые официальные изображения концепта Vision iV. Этот электрический кроссовер на платформе Modular Electric Drive Kit (MEB)…","
Новости
",02:29 PM 15/02/2019
16,Компания «ДТЭК» Рината Ахметова ввела в эксплуатацию самую крупную в Украине Никопольскую СЭС мощностью порядка 250 МВт,15.02.2019/13:52,Обновлено: 15.02.2019 в 13:46,Сергей Кулеш,80,"Компания «Солар-Фарм-1», принадлежащая группе «ДТЭК» Рината Ахметова, в январе 2019 года ввела в эксплуатацию солнечную электростанцию мощностью 246 МВт в Никопольском районе…","
Новости
",01:52 PM 15/02/2019
17,"ГФС запустила Е-кабинет для рядовых украинцев, но без ЭЦП в него не попасть",15.02.2019/13:40,Обновлено: 15.02.2019 в 14:58,Владимир Скрипин,57,Уже достаточно давно Государственная фискальная служба Украины (ГФС) предоставляет определенные возможности администрирования налогов и подачи налоговой отчетности для плательщиков…,"
Новости
",01:40 PM 15/02/2019
18,Solo — трехколесный электрокар от канадского автопроизводителя Electra Meccanica,15.02.2019/12:06,Обновлено: 15.02.2019 в 13:39,Кирилл Иртлач,48,"Канадская компания Electra Meccanica запустила производство трехколесного одноместного электрокара Solo, призванного «изменить представление общества о традиционном автомобиле». Внешне Solo…","
Блоги
",12:06 PM 15/02/2019
19,"Прощай, «Возможность»! Наиболее яркие моменты 15-летней одиссеи марсохода Opportunity",15.02.2019/11:43,Обновлено: 15.02.2019 в 12:36,Владимир Скрипин,24,"13 февраля команда инженеров Лаборатории реактивного движения NASA (JPL) предприняла последнюю попытку (всего таких попыток было совершено свыше 800) связаться с марсоходом Opportunity, который…","
Блоги
",11:43 AM 15/02/2019
20,"Приложение Samsung рассказало о новых носимых устройствах, которые будут анонсированы одновременно с Galaxy S10",15.02.2019/10:43,Обновлено: 15.02.2019 в 10:43,Вадим Карпусь,9,"Обновление приложения Samsung для носимых устройств непреднамеренно раскрыло всю линейку новых продуктов, которые будут анонсированы вместе с флагманским смартфоном Galaxy S10. В частности,…","
Новости
",10:43 AM 15/02/2019
21,Chaparral — транспортный дрон грузоподъемностью 230 кг,15.02.2019/09:41,Обновлено: 15.02.2019 в 09:41,Кирилл Иртлач,16,"Американский стартап Elroy Air представил транспортный дрон Chaparral, отличительной чертой которого является его грузоподъемность: устройство способно за раз перенести до 230 кг груза…","
Блоги
",09:41 AM 15/02/2019
22,Обзор ARTLINE Overlord RTX X99 (X99v25): игровой ПК на четверть миллиона,15.02.2019/09:30,Обновлено: 15.02.2019 в 15:04,Олег Касич,172,Еще осенью прошлого года компания Intel представила новые процессоры семейства Skylake-Х для десктопной платформы LGA2066. Обновленную линейку возглавил 18-ядерный Core i9-9980XE. Такие CPU только-только…,"
Обзоры
",09:30 AM 15/02/2019
23,Следующая миссия NASA SPHEREx займётся исследованием происхождения Вселенной и следов жизни в нашей галактике,15.02.2019/09:02,Обновлено: 15.02.2019 в 07:39,Игорь Мозуль,8,"NASA дала зелёный свет новой исследовательской миссии SPHEREx. Это космический телескоп, который займётся изучением космоса в нашей галактике и за её пределами. Запуск аппарата запланирован на 2023…","
Новости
",09:02 AM 15/02/2019
24,"Пираты распространяют на iOS взломанные версии популярных приложений, используя корпоративные сертификаты разработчиков",15.02.2019/08:35,Обновлено: 15.02.2019 в 07:36,Игорь Мозуль,43,"Буквально на днях стало известно, что Apple начала блокировать азартные игры и приложения для iOS с порнографическим контентом, создатели которых злоупотребляли программой корпоративных…","
Новости
",08:35 AM 15/02/2019
25,Разработчики PlatinumGames анонсировали свой новый проект — Astral Chain,15.02.2019/08:02,Обновлено: 15.02.2019 в 07:36,Кирилл Иртлач,7,"Разработчики PlatinumGames, известные игровому сообществу как создатели Bayonetta и NieR: Automata, анонсировали свой новый проект — Astral Chain, выполненный в сеттинге киберпанка. Руководителем разработки…","
Блоги
",08:02 AM 15/02/2019
26, Электрокроссовер Skoda Vision iV на платформе VW MEB представят на Женевском автосалоне 2019 и выпустят на рынок уже в 2020 году [первые изображения],15.02.2019/08:02, Обновлено: 15.02.2019 в 07:36 ,Кирилл Иртлач,7," Разработчики PlatinumGames, известные игровому сообществу как создатели Bayonetta и NieR: Automata, анонсировали свой новый проект — Astral Chain, выполненный в сеттинге киберпанка. Руководителем разработки…", Блоги ,08:02 AM 15/02/2019
27, Компания «ДТЭК» Рината Ахметова ввела в эксплуатацию самую крупную в Украине Никопольскую СЭС мощностью порядка 250 МВт,14.02.2019/19:45, Обновлено: 14.02.2019 в 19:54 ,Сергей Кулеш,0," Сервис Netflix выпустил первый трейлер необычного анимированного сериала для взрослых «Love, Death & Robots» / «Любовь, Смерть и Роботы». Проект представляет собой антологию разнообразных…", Блоги ,07:45 PM 14/02/2019
28,"Анимированный сериал-антология для взрослых Love, Death & Robots / «Любовь, Смерть и Роботы» от Дэвида Финчера и Тима Миллера выйдет на Netflix 15 марта [трейлер]",14.02.2019/19:45,Обновлено: 14.02.2019 в 19:54,Сергей Кулеш,0,"Сервис Netflix выпустил первый трейлер необычного анимированного сериала для взрослых «Love, Death & Robots» / «Любовь, Смерть и Роботы». Проект представляет собой антологию разнообразных…","
Блоги
",07:45 PM 14/02/2019
29," ГФС запустила Е-кабинет для рядовых украинцев, но без ЭЦП в него не попасть",14.02.2019/19:10, Обновлено: 14.02.2019 в 19:17 ,Сергей Кулеш,13," Разработчики Fortnite сделали подарок фанатам своей «королевской битвы» в виде бесплатного боевого пропуска для восьмого сезона игры. Для того, чтобы получить Battle Pass бесплатно, игрокам…", Блоги ,07:10 PM 14/02/2019
30,"В Fortnite можно получить боевой пропуск 8 сезона бесплатно, выполнив 13 бонусных испытаний до 27 февраля (обычно он стоит $10)",14.02.2019/19:10,Обновлено: 14.02.2019 в 19:17,Сергей Кулеш,13,"Разработчики Fortnite сделали подарок фанатам своей «королевской битвы» в виде бесплатного боевого пропуска для восьмого сезона игры. Для того, чтобы получить Battle Pass бесплатно, игрокам…","
Блоги
",07:10 PM 14/02/2019
31,В электромобилях Tesla появился режим Dog Mode для поддержания комфортной для животных температуры в салоне,14.02.2019/18:43,Обновлено: 14.02.2019 в 18:43,Вадим Карпусь,81,Компания Tesla внедрила в свои электромобили специальный режим Dog Mode. Он призван обеспечить комфортные условия пребывания для домашних питомцев в салоне автомобиля. Этот режим был разработан…,"
Новости
",06:43 PM 14/02/2019
32, Solo — трехколесный электрокар от канадского автопроизводителя Electra Meccanica,14.02.2019/18:43, Обновлено: 14.02.2019 в 18:43 ,Вадим Карпусь,84, Компания Tesla внедрила в свои электромобили специальный режим Dog Mode. Он призван обеспечить комфортные условия пребывания для домашних питомцев в салоне автомобиля. Этот режим был разработан…, Новости ,06:43 PM 14/02/2019
33," Прощай, «Возможность»! Наиболее яркие моменты 15-летней одиссеи марсохода Opportunity",14.02.2019/18:40, Обновлено: 14.02.2019 в 18:40 ,Владимир Заец,152," Если рассматривать компанию FiiO как производителя только портативных Hi-Res плееров, то она очень преуспела в этом и на данный момент может предложить сразу 8 современных моделей. При этом их…", Обзоры ,06:40 PM 14/02/2019
34,Обзор портативного Hi-Res плеера FiiO M3k,14.02.2019/18:40,Обновлено: 14.02.2019 в 18:40,Владимир Заец,150,"Если рассматривать компанию FiiO как производителя только портативных Hi-Res плееров, то она очень преуспела в этом и на данный момент может предложить сразу 8 современных моделей. При этом их…","
Обзоры
",06:40 PM 14/02/2019
35," Студенты из Турина разработали для Honda концепт молодежного электромобиля Tomo, его покажут на Женевском автосалоне вместе с серийным Honda Urban EV",14.02.2019/18:02, Обновлено: 14.02.2019 в 18:03 ,Сергей Кулеш,17," Японский автопроизводитель Honda пообещал представить серийный электромобиль Honda Urban EV на Женевском автосалоне, однако это будет не единственная электрическая модель, которую компания…", Новости ,06:02 PM 14/02/2019
36," Приложение Samsung рассказало о новых носимых устройствах, которые будут анонсированы одновременно с Galaxy S10",14.02.2019/18:02, Обновлено: 14.02.2019 в 18:03 ,Сергей Кулеш,17," Японский автопроизводитель Honda пообещал представить серийный электромобиль Honda Urban EV на Женевском автосалоне, однако это будет не единственная электрическая модель, которую компания…", Новости ,06:02 PM 14/02/2019
37,"Студенты из Турина разработали для Honda концепт молодежного электромобиля Tomo, его покажут на Женевском автосалоне вместе с серийным Honda Urban EV",14.02.2019/18:02,Обновлено: 14.02.2019 в 18:03,Сергей Кулеш,17,"Японский автопроизводитель Honda пообещал представить серийный электромобиль Honda Urban EV на Женевском автосалоне, однако это будет не единственная электрическая модель, которую компания…","
Новости
",06:02 PM 14/02/2019
38,Комиссия по ценным бумагам США подала иск против бывшего юриста Apple за инсайдерскую торговлю. В компании он руководил отделом по борьбе с инсайдерской торговлей,14.02.2019/17:48,Обновлено: 14.02.2019 в 17:48,Владимир Скрипин,24,"Комиссия по ценным бумагам США (SEC) подала иск с обвинением в инсайдерской торговле против бывшего юриста Apple Джина Левоффа. Ирония заключается в том, что в компании Apple Джин Левофф возглавлял…","
Блоги
",05:48 PM 14/02/2019
39, Комиссия по ценным бумагам США подала иск против бывшего юриста Apple за инсайдерскую торговлю. В компании он руководил отделом по борьбе с инсайдерской торговлей,14.02.2019/17:48, Обновлено: 14.02.2019 в 17:48 ,Владимир Скрипин,24," Комиссия по ценным бумагам США (SEC) подала иск с обвинением в инсайдерской торговле против бывшего юриста Apple Джина Левоффа. Ирония заключается в том, что в компании Apple Джин Левофф возглавлял…", Блоги ,05:48 PM 14/02/2019
40, Нил Бломкамп снял короткометражку Conviction по миру игры Anthem от BioWare [видео],14.02.2019/17:30, Обновлено: 14.02.2019 в 16:58 ,Сергей Кулеш,22," Сегодня состоялась премьера короткометражного фильма Conviction от режиссера Нила Бломкампа, известного по полнометражным фантастическим фильмам «Район №9», «Элизиум», «Робот по имени Чаппи» и…", Блоги ,05:30 PM 14/02/2019
41,Нил Бломкамп снял короткометражку Conviction по миру игры Anthem от BioWare [видео],14.02.2019/17:30,Обновлено: 14.02.2019 в 16:58,Сергей Кулеш,22,"Сегодня состоялась премьера короткометражного фильма Conviction от режиссера Нила Бломкампа, известного по полнометражным фантастическим фильмам «Район №9», «Элизиум», «Робот по имени Чаппи» и…","
Блоги
",05:30 PM 14/02/2019
42, Вместе со смартфоном Xiaomi Mi 9 будет представлен и новый роутер Xiaomi,14.02.2019/17:29, Обновлено: 14.02.2019 в 17:29 ,Владимир Скрипин,52," Официальный постер в соцсети Weibo указывает на то, что 20 февраля вместе с новым флагманским смартфоном Xiaomi Mi 9 производитель анонсирует как минимум еще одну новинку. Особый интерес вызывает…", Новости ,05:29 PM 14/02/2019
43,Вместе со смартфоном Xiaomi Mi 9 будет представлен и новый роутер Xiaomi,14.02.2019/17:29,Обновлено: 14.02.2019 в 17:29,Владимир Скрипин,52,"Официальный постер в соцсети Weibo указывает на то, что 20 февраля вместе с новым флагманским смартфоном Xiaomi Mi 9 производитель анонсирует как минимум еще одну новинку. Особый интерес вызывает…","
Новости
",05:29 PM 14/02/2019
44,Университет Крэнфилда на базе собственного аэропорта создал воздушный коридор для беспилотников,14.02.2019/17:22,Обновлено: 14.02.2019 в 16:49,Кирилл Иртлач,1,Британский Университет Крэнфилда в Бедфордшире на базе собственного аэропорта организовал первый в стране воздушный коридор для беспилотной авиации и уже провел в этом выделенном…,"
Блоги
",05:22 PM 14/02/2019
45, Университет Крэнфилда на базе собственного аэропорта создал воздушный коридор для беспилотников,14.02.2019/17:22, Обновлено: 14.02.2019 в 16:49 ,Кирилл Иртлач,1, Британский Университет Крэнфилда в Бедфордшире на базе собственного аэропорта организовал первый в стране воздушный коридор для беспилотной авиации и уже провел в этом выделенном…, Блоги ,05:22 PM 14/02/2019
46," В 2019 году Google выпустит более доступные смартфоны Pixel, свои первые умные часы и другие аппаратные продукты",14.02.2019/17:09, Обновлено: 14.02.2019 в 16:49 ,Вадим Карпусь,14," Как утверждают осведомлённые источники, в 2019 году компания Google намерена представить большое количество аппаратных новинок. Причём, некоторые из них будут впервые выпущены в рамках этого…", Новости ,05:09 PM 14/02/2019
47,"В 2019 году Google выпустит более доступные смартфоны Pixel, свои первые умные часы и другие аппаратные продукты",14.02.2019/17:09,Обновлено: 14.02.2019 в 16:49,Вадим Карпусь,14,"Как утверждают осведомлённые источники, в 2019 году компания Google намерена представить большое количество аппаратных новинок. Причём, некоторые из них будут впервые выпущены в рамках этого…","
Новости
",05:09 PM 14/02/2019
48," КП «Информатика» рассказало о распознавании лиц в системе видеонаблюдения Киева: аналог китайской Sky Net от того же разработчика Hikvision, обработка 1100 лиц в секунду, удаление фото на 31 день и т.д.",14.02.2019/16:51, Обновлено: 15.02.2019 в 11:14 ,Сергей Кулеш,22," В конце прошлой недели мы рассказали о том, что столичное коммунальное предприятие «Информатика» начало тестировать новый аналитический модуль видеонаблюдения в рамках проекта…", Новости ,04:51 PM 14/02/2019
49,"КП «Информатика» рассказало о распознавании лиц в системе видеонаблюдения Киева: аналог китайской Sky Net от того же разработчика Hikvision, обработка 1100 лиц в секунду, удаление фото на 31 день и т.д.",14.02.2019/16:51,Обновлено: 15.02.2019 в 11:14,Сергей Кулеш,22,"В конце прошлой недели мы рассказали о том, что столичное коммунальное предприятие «Информатика» начало тестировать новый аналитический модуль видеонаблюдения в рамках проекта…","
Новости
",04:51 PM 14/02/2019
50,Airbus прекратит производство самых больших авиалайнеров А380 в 2021 году,14.02.2019/16:30,Обновлено: 14.02.2019 в 17:17,Владимир Скрипин,25,Компания Airbus объявила о прекращении производства крупнейшего серийного пассажирского авиалайнера в мире А380 в 2021 году сразу после отгрузки последнего борта авиакомпании Emirates в рамках…,"
Новости
",04:30 PM 14/02/2019
51, Airbus прекратит производство самых больших авиалайнеров А380 в 2021 году,14.02.2019/16:30, Обновлено: 14.02.2019 в 17:17 ,Владимир Скрипин,25, Компания Airbus объявила о прекращении производства крупнейшего серийного пассажирского авиалайнера в мире А380 в 2021 году сразу после отгрузки последнего борта авиакомпании Emirates в рамках…, Новости ,04:30 PM 14/02/2019
