,title,date,time,author,counts,sometext,category,Date
52,Посадочная платформа InSight установила еще один научный инструмент на поверхность Марса,14.02.2019/16:03,Обновлено: 14.02.2019 в 16:56,Кирилл Иртлач,8,"Посадочная платформа миссии InSight при помощи роботизированной руки успешно выгрузила на поверхность Красной планеты научный инструмент HP3 (Heat Flow and Physical Properties Package), который вскоре должен…","
Блоги
",04:03 PM 14/02/2019
53, Посадочная платформа InSight установила еще один научный инструмент на поверхность Марса,14.02.2019/16:03, Обновлено: 14.02.2019 в 16:56 ,Кирилл Иртлач,8," Посадочная платформа миссии InSight при помощи роботизированной руки успешно выгрузила на поверхность Красной планеты научный инструмент HP3 (Heat Flow and Physical Properties Package), который вскоре должен…", Блоги ,04:03 PM 14/02/2019
54,"500px призналась, что была взломана полгода назад. Хакеры украли данные почти 15 млн пользователей",14.02.2019/15:43,Обновлено: 14.02.2019 в 15:43,Владимир Скрипин,26,"Платформа для обмена фотографиями 500px, являющаяся прямым конкурентом более популярного фотохостинга Flickr, рассказала об обнаруженной уязвимости в системе безопасности, затронувшей 14,8 млн…","
Новости
",03:43 PM 14/02/2019
55," 500px призналась, что была взломана полгода назад. Хакеры украли данные почти 15 млн пользователей",14.02.2019/15:43, Обновлено: 14.02.2019 в 15:43 ,Владимир Скрипин,26," Платформа для обмена фотографиями 500px, являющаяся прямым конкурентом более популярного фотохостинга Flickr, рассказала об обнаруженной уязвимости в системе безопасности, затронувшей 14,8 млн…", Новости ,03:43 PM 14/02/2019
56,"Американский производитель водородно-электрических грузовиков Nikola Motor выпустит и чисто электрические версии моделей Nikola Two и Tre с батареями на 500 кВтч, 750 кВтч и 1 МВтч",14.02.2019/15:07,Обновлено: 14.02.2019 в 16:02,Сергей Кулеш,51,"Американская компания Nikola Motor, известная по линейке водородно-электрических грузовиков Nikola One / Two / Tre, сделала весьма неожиданное заявление. Учитывая результаты Tesla Semi и ссылаясь на спрос со…","
Новости
",03:07 PM 14/02/2019
57," Американский производитель водородно-электрических грузовиков Nikola Motor выпустит и чисто электрические версии моделей Nikola Two и Tre с батареями на 500 кВтч, 750 кВтч и 1 МВтч",14.02.2019/15:07, Обновлено: 14.02.2019 в 16:02 ,Сергей Кулеш,51," Американская компания Nikola Motor, известная по линейке водородно-электрических грузовиков Nikola One / Two / Tre, сделала весьма неожиданное заявление. Учитывая результаты Tesla Semi и ссылаясь на спрос со…", Новости ,03:07 PM 14/02/2019
58,The LEGO Movie 2: The Second Part  / «Лего Фильм 2» — не все у нас прекрасно,14.02.2019/14:49,Обновлено: 14.02.2019 в 14:51,Дмитрий Курятник,30,"Первая часть Лего Фильма оказалась настоящим открытием и была тепло принята как публикой всех возрастов, так и критиками. Дети были в восторге от фантастического мира, состоящего из кубиков…","
Обзоры
",02:49 PM 14/02/2019
59, The LEGO Movie 2: The Second Part  / «Лего Фильм 2» — не все у нас прекрасно,14.02.2019/14:49, Обновлено: 14.02.2019 в 14:51 ,Дмитрий Курятник,30," Первая часть Лего Фильма оказалась настоящим открытием и была тепло принята как публикой всех возрастов, так и критиками. Дети были в восторге от фантастического мира, состоящего из кубиков…", Обзоры ,02:49 PM 14/02/2019
60,"Немцы показали первые официальные изображения компактного электрокроссовера Audi Q4 e-tron. Концепт представят в Женеве весной, серийная версия выйдет в 2020-2021 годах",14.02.2019/14:30,Обновлено: 14.02.2019 в 14:54,Сергей Кулеш,23,"Немецкий автопроизводитель Audi опубликовал официальные изображения нового компактного электрокроссовера Audi Q4 e-tron, который будет официально представлен в начале марта на автосалоне в…","
Новости
",02:30 PM 14/02/2019
61," Немцы показали первые официальные изображения компактного электрокроссовера Audi Q4 e-tron. Концепт представят в Женеве весной, серийная версия выйдет в 2020-2021 годах",14.02.2019/14:30, Обновлено: 14.02.2019 в 14:54 ,Сергей Кулеш,23," Немецкий автопроизводитель Audi опубликовал официальные изображения нового компактного электрокроссовера Audi Q4 e-tron, который будет официально представлен в начале марта на автосалоне в…", Новости ,02:30 PM 14/02/2019
62," Vodafone Украина построит в Харькове «Золотой кластер» мобильной сети с использованием технологий MIMO 4×4, AAU, 4T6S и 2T9S",14.02.2019/14:15, Обновлено: 14.02.2019 в 14:15 ,Сергей Кулеш,78," Оператор мобильной связи Vodafone Украина начал пилотный проект по тестированию новейших технологий на собственной сети для улучшения связи 3G и 4G в Харькове. Партнером проекта, который получил…", Новости ,02:15 PM 14/02/2019
63,"Vodafone Украина построит в Харькове «Золотой кластер» мобильной сети с использованием технологий MIMO 4×4, AAU, 4T6S и 2T9S",14.02.2019/14:15,Обновлено: 14.02.2019 в 14:15,Сергей Кулеш,78,"Оператор мобильной связи Vodafone Украина начал пилотный проект по тестированию новейших технологий на собственной сети для улучшения связи 3G и 4G в Харькове. Партнером проекта, который получил…","
Новости
",02:15 PM 14/02/2019
64, Япония и ЕС сделают обязательной систему автоматического торможения для новых легковых автомобилей и малотоннажных грузовиков,14.02.2019/14:11, Обновлено: 14.02.2019 в 23:28 ,Кирилл Иртлач,49, На форуме Европейской экономической комиссии при ООН Евросоюз и Япония подписали соглашение о намерении сделать автоматические системы торможения обязательными для легковых автомобилей и…, Блоги ,02:11 PM 14/02/2019
65,Япония и ЕС сделают обязательной систему автоматического торможения для новых легковых автомобилей и малотоннажных грузовиков,14.02.2019/14:11,Обновлено: 14.02.2019 в 23:28,Кирилл Иртлач,49,На форуме Европейской экономической комиссии при ООН Евросоюз и Япония подписали соглашение о намерении сделать автоматические системы торможения обязательными для легковых автомобилей и…,"
Блоги
",02:11 PM 14/02/2019
66,"Раскрыты полные характеристики смартфонов Samsung Galaxy A50, Galaxy A30 и Galaxy A10",14.02.2019/13:59,Обновлено: 14.02.2019 в 13:36,Владимир Скрипин,2,"На фото показана модель Samsung Galaxy A9 (2018) Вскоре Samsung должна явить миру новые смартфоны линейки Galaxy A образца 2019 года, которые должны помочь южнокорейскому производителю более…","
Новости
",01:59 PM 14/02/2019
67," Раскрыты полные характеристики смартфонов Samsung Galaxy A50, Galaxy A30 и Galaxy A10",14.02.2019/13:59, Обновлено: 14.02.2019 в 13:36 ,Владимир Скрипин,2," На фото показана модель Samsung Galaxy A9 (2018) Вскоре Samsung должна явить миру новые смартфоны линейки Galaxy A образца 2019 года, которые должны помочь южнокорейскому производителю более…", Новости ,01:59 PM 14/02/2019
