id,title,date4,time3,author,counts,sometext,category,date2
87,Смартфон Redmi K20 Pro (он же Xiaomi Mi 9T) будет доступен в версии с 12 ГБ оперативной памяти,2019-05-30,Обновлено: 30.05.2019 в 18:02,Владимир Скрипин,34,"Позавчера суббренд Xiaomi — Redmi — представил свой первый флагманский смартфон Redmi K20 Pro на SoC Snapdragon 855 в четырех конфигурациях памяти: 6+64 ($360), 6+128 ($375), 8+128 ($405) и 8+256 ГБ ($435). Но сейчас выяснилось, что на…","
Новости
",05:58 PM 30/05/2019
84,«Время — деньги». ПриватБанк теперь обрабатывает платежи от Payoneer для физлиц в режиме 24/7,2019-05-30,Обновлено: 30.05.2019 в 22:59,Владимир Скрипин,22,В рамках очередного расширения сотрудничества с международной платежной системой Payoneer украинский государственный банк «ПриватБанк» запустил новый круглосуточный онлайн-сервис…,"
Новости
",06:58 PM 30/05/2019
92,"Дешевле Redmi K20: Представлен смартфон Meizu 16Xs с SoC Snapdragon 675, тройной основной камерой и аккумулятором на 4000 мА·ч",2019-05-30,Обновлено: 30.05.2019 в 16:39,Владимир Скрипин,35,"Сегодня компания Meizu, как и обещала, представила в Китае новый смартфон Meizu 16Xs. Новинка является более доступной альтернативой дебютировавшему месяцем ранее флагману Meizu 16s и нацелена на…","
Новости
",04:27 PM 30/05/2019
101,"Разработан робот, имеющий конструкцию обратного маятника, способный двигаться во все стороны без поворота колес",2019-05-30,Обновлено: 30.05.2019 в 13:20,Кирилл Иртлач,17,"Британский инженер из Шеффилдского университета разработал нестабильного робота, способного передвигаться в любом направлении без поворота колес. Разработка была представлена…","
Блоги
",01:20 PM 30/05/2019
97,"Google ужесточила правила Play Store в отношении лутбоксов и приложений, ориентированных на детскую аудиторию",2019-05-30,Обновлено: 30.05.2019 в 16:29,Вадим Карпусь,9,"Компания Google решила сделать свой магазин Play Store более удобным и комфортным для использования детьми. Однако речь идёт не о косметических изменениях, а об изменении политики для…","
Новости
",02:29 PM 30/05/2019
112,"«Fusion Confusion»: исследования Google показали, что холодный ядерный синтез невозможен",2019-05-30,Обновлено: 30.05.2019 в 12:32,Кирилл Иртлач,113,"При слиянии двух атомных ядер выделяется огромное количество энергии — именно этот процесс питает Солнце и другие звезды. Научившись воспроизводить его в земных условиях, человечество…","
Блоги
",08:30 AM 30/05/2019
108,"По просьбам трудящихся. Xiaomi добавит смартфонам Redmi K20 и Redmi K20 Pro ИК-порт, выпустив специальный аксессуар с подключением через разъем 3,5 мм",2019-05-30,Обновлено: 30.05.2019 в 10:23,Владимир Скрипин,54,"В представленных на днях смартфонах Redmi K20 и Redmi K20 Pro, вызвавших серьезный интерес у потребителей, отсутствует инфракрасный порт, который имеет огромную важность для некоторых. Смартфоны с…","
Новости
",10:20 AM 30/05/2019
98,"В самом «сердце» Лондона. 11 июля Microsoft откроет свой первый фирменный магазин в Европе (трехэтажный, площадью 2040 кв. м)",2019-05-30,Обновлено: 30.05.2019 в 17:02,Владимир Скрипин,18,"Компания Microsoft готовится к открытию своего первого розничного магазина в Европе. Он расположится в самом сердце Лондона — на пересечении улиц Риджент-стрит и Оксфорд-стрит, где находятся…","
Новости
",02:03 PM 30/05/2019
103,"Xiaomi Inс внесла cумму обеспечения иска, судебные разбирательства с NIS продолжаются",2019-05-30,Обновлено: 30.05.2019 в 13:34,Тарас Мищенко,25,"На прошлой неделе мы писали о том, адвокат Александра Шевченко, действующего от имени Xiaomi Inс, подал иск в Хозяйственный суд Киева, которым заблокировал на таможне партию смартфонов Xiaomi,…","
Новости
",12:46 PM 30/05/2019
88,"Sony анонсировала акцию Days of Play 2019 со скидками на консоли PS4, аксессуары и игры [с 7 по 17 июня]",2019-05-30,Обновлено: 30.05.2019 в 17:49,Сергей Кулеш,14,"Компания Sony объявила, что очередная акция Days of Play 2019 пройдет с 7 по 17 июня текущего года. В этот период можно будет приобрести консоли, периферию и игры с заметными скидками. В рамках акции…","
Блоги
",05:48 PM 30/05/2019
